colonia_alcaldia,consumo_total,tot_hog,nivel_promedio_ponderado,diversidad_shannon
10 DE ABRIL | MIGUEL HIDALGO,17694.87,108,3.7255611372109545,0.6288143728271732
10 DE MAYO | VENUSTIANO CARRANZA,46761.97,547,1.8966097878254484,0.33246880851497007
12 DE DICIEMBRE | IZTAPALAPA,18441.64,815,1.6790198702501513,0.6276060455452046
15 DE AGOSTO | GUSTAVO A. MADERO,43261.61,1079,2.234205107022138,0.5443077070695741
16 DE SEPTIEMBRE | MIGUEL HIDALGO,51639.99999999999,691,2.730990898528273,0.7953616374931359
19 DE MAYO | ALVARO OBREGON,15121.25,337,1.0,-0.0
1A AMPLIACION SANTIAGO ACAHUALTEPEC | IZTAPALAPA,2239.98,1870,1.4499861605907194,0.6881360361627749
1RA VICTORIA SECCION BOSQUES | ALVARO OBREGON,21580.68,631,1.1880228055835125,0.48334327795539944
1RA VICTORIA | ALVARO OBREGON,12978.45,592,2.0,-0.0
2 DE OCTUBRE | TLALPAN,77.34,1594,1.0,-0.0
20 DE NOVIEMBRE (AMPL) | VENUSTIANO CARRANZA,30859.980000000003,241,1.3724406172654682,0.660241852804877
20 DE NOVIEMBRE | VENUSTIANO CARRANZA,99825.6,3591,1.9214396908207916,0.2752389884229009
24 DE ABRIL | VENUSTIANO CARRANZA,7710.539999999999,66,2.0341947515997583,0.6925624260532933
25 DE JULIO | GUSTAVO A. MADERO,44829.590000000004,958,1.4645773026253417,0.7144842583240996
2A AMPLIACION SANTIAGO ACAHUALTEPEC I | IZTAPALAPA,2135.67,2221,1.077273174226355,0.2720584702724912
2A AMPLIACION SANTIAGO ACAHUALTEPEC II | IZTAPALAPA,2903.96,3985,1.1328634003223184,0.39179388909805324
2DA  JALALPA TEPITO (AMPL) | ALVARO OBREGON,26733.19,1281,1.5500982112497612,0.688119086107782
2DA EL PIRUL (AMPL) | ALVARO OBREGON,7717.43,239,1.0,-0.0
5 DE MAYO | MIGUEL HIDALGO,34770.49,1037,2.779026122438885,0.5283631327265967
51 LEGISLATURA | GUSTAVO A. MADERO,723.77,170,1.0,-0.0
5TO TRAMO DE 20 DE NOVIEMBRE | VENUSTIANO CARRANZA,90172.82000000002,2277,1.9362793577931794,0.5519637671684764
6 DE JUNIO | GUSTAVO A. MADERO,44.06,710,1.718792555605992,0.5940900896123158
7 DE JULIO (AMPL) | VENUSTIANO CARRANZA,42364.369999999995,612,2.0,-0.0
7 DE JULIO | VENUSTIANO CARRANZA,28784.510000000002,295,2.5011730267425083,0.8941677326900133
7 DE NOVIEMBRE | GUSTAVO A. MADERO,53668.350000000006,1104,2.4879063731230793,1.1757037214016661
8A DE SAN MIGUEL (AMPL) | IZTAPALAPA,22287.75,529,1.3761344236183555,0.6621399864918152
AARON SAENZ | VENUSTIANO CARRANZA,6666.74,129,2.0,-0.0
ABDIAS GARCIA SOTO | CUAJIMALPA DE MORELOS,16087.22,694,2.0751086887603947,1.0757712845674068
ABRAHAM GONZALEZ | ALVARO OBREGON,495.63,75,1.0,-0.0
ACACIAS | BENITO JUAREZ,164893.59999999998,2708,3.8283678687347478,0.21922269627152238
ACTIPAN | BENITO JUAREZ,152248.83000000002,1835,3.7672464215324344,0.4251482068455889
ACUEDUCTO DE GUADALUPE (RDCIAL) | GUSTAVO A. MADERO,70547.8,1863,2.7858637689623205,0.7970890694379758
ACUEDUCTO DE GUADALUPE (U HAB) | GUSTAVO A. MADERO,201399.23,3879,1.9894447461392977,0.05853769895756942
ACUEDUCTO | ALVARO OBREGON,10493.16,889,1.8027839087557989,0.4965188023949726
ACULCO (PBLO) | IZTAPALAPA,65593.64,1616,1.42781205616886,0.6826884693797726
ADOLFO LOPEZ MATEOS | CUAJIMALPA DE MORELOS,11492.31,236,4.0,-0.0
ADOLFO LOPEZ MATEOS | VENUSTIANO CARRANZA,88415.04,1852,1.742080646007738,0.5708693570456334
ADOLFO RUIZ CORTINES I | COYOACAN,3431.92,2129,1.6068090165271918,0.6701540730768027
ADOLFO RUIZ CORTINES II | COYOACAN,4588.0,2191,1.25422406277245,0.5669283482463299
AERONAUTICA MILITAR | VENUSTIANO CARRANZA,76635.5,931,2.553074358489212,1.3839691419776972
AGRICOLA METROPOLITANA | TLAHUAC,38757.96,2542,1.9245685273425126,1.0157896642886106
AGRICOLA ORIENTAL I | IZTACALCO,351248.24,5267,1.5497646621659942,0.6881859272372901
AGRICOLA ORIENTAL II | IZTACALCO,182258.11000000002,3139,1.621437751110225,0.6633558889654279
AGRICOLA ORIENTAL III | IZTACALCO,172995.15000000002,3485,1.8848959060412966,0.4197121436440276
AGRICOLA ORIENTAL IV | IZTACALCO,182503.38999999998,2747,1.831609648456393,0.45332470607299696
AGRICOLA ORIENTAL V | IZTACALCO,213177.52,3279,1.8195916717672669,0.47201208982345966
AGRICOLA ORIENTAL VI | IZTACALCO,242464.1,3830,1.8527277646463949,0.4179481781040587
AGRICOLA ORIENTAL VII | IZTACALCO,156226.51,2695,1.7935617969062996,0.5091991601054081
AGRICOLA ORIENTAL VIII | IZTACALCO,142698.0,3090,1.8491506538283649,0.4241795399799131
AGRICULTURA | MIGUEL HIDALGO,116465.19,1584,2.2638474208473793,0.8653435694531695
AGUA BENDITA | CUAJIMALPA DE MORELOS,9758.5,924,1.0,-0.0
AGUILAS 3ER PARQUE | ALVARO OBREGON,12309.07,893,1.0760804837408513,0.2690905914900437
AGUILAS PILARES | ALVARO OBREGON,67168.51,672,3.8923179924640285,0.3416414023233232
AGUILERA | AZCAPOTZALCO,40529.42,608,2.002415529262447,0.009321986271172252
AHUATENCO | CUAJIMALPA DE MORELOS,30940.010000000002,1074,1.8317334092652202,0.678922784288891
AHUEHUETES ANAHUAC | MIGUEL HIDALGO,36899.34,595,2.2083918032138246,0.5118181204068104
AHUEHUETES | GUSTAVO A. MADERO,371.67999999999995,1086,1.0,-0.0
AJUSCO HUAYAMILPAS | COYOACAN,3745.62,724,1.7255861512913748,0.7969037691842327
AJUSCO I | COYOACAN,21206.37,3549,3.0332088895930798,0.9258633416595483
AJUSCO II | COYOACAN,7325.33,3389,2.0,-0.0
AJUSCO III | COYOACAN,9998.56,2415,1.523795426541422,0.6920143080466625
ALAMOS I | BENITO JUAREZ,331860.14999999997,4617,2.6802916529749052,0.8012298872733017
ALAMOS II | BENITO JUAREZ,284995.14,4194,3.141551150661727,0.8408087665661106
ALBERT | BENITO JUAREZ,92268.94,1505,2.3944458449398027,0.8367468900738093
ALCANTARILLA | ALVARO OBREGON,953.62,475,1.0,-0.0
ALDANA | AZCAPOTZALCO,49779.63,1114,2.0,-0.0
ALFALFAR | ALVARO OBREGON,26216.29,519,3.078839530688744,1.2317268466529798
ALFONSO XIII | ALVARO OBREGON,187635.08,3340,2.8567572758782633,1.0073659603841283
ALGARIN | CUAUHTEMOC,167220.13,2338,3.0578806510914682,1.0791381017522355
ALIANZA POPULAR REVOLUCIONARIA NORTE (U HAB) | COYOACAN,97903.29,1131,1.0,-0.0
ALIANZA POPULAR REVOLUCIONARIA ORIENTE (U HAB) | COYOACAN,23660.789999999997,1720,1.7473089444604344,0.565272305796519
ALIANZA POPULAR REVOLUCIONARIA PONIENTE (U HAB) | COYOACAN,20269.62,1709,1.848844230922928,0.4247086586629222
ALPES (AMPL) | ALVARO OBREGON,16569.01,920,2.0261113971202867,0.8499962593242494
ALPES | ALVARO OBREGON,178906.21,1590,3.838644449513519,0.34493820101216877
ALTILLO (COND ALTILLO UNIVERSIDAD) | COYOACAN,60012.29000000001,915,1.1537350099454629,0.20216489021497408
ALVARO OBREGON | IZTAPALAPA,2354.05,1289,1.0,-0.0
ALVARO OBREGON | VENUSTIANO CARRANZA,40542.22,854,2.634215146580528,0.9707251084254227
ALVARO OBREGON_(FRACC) | IZTAPALAPA,22701.699999999997,1694,1.4085742477435612,0.6763354191113808
AMADO NERVO | CUAJIMALPA DE MORELOS,3207.6800000000003,100,4.0,-0.0
AMERICA | MIGUEL HIDALGO,74881.15,1455,2.7509544124255574,1.2757118993052494
AMERICAS UNIDAS-DEL LAGO | BENITO JUAREZ,97005.72,1810,2.3081641989771327,0.6214807078356119
AMPL CARACOL | VENUSTIANO CARRANZA,16587.23,1565,1.8903174309393431,0.3458511559548637
AMPLIACION CANDELARIA | COYOACAN,42017.74,1409,1.2847418733135099,0.6650012493412749
AMPLIACION MIGUEL HIDALGO 2A SECC | TLALPAN,4509.629999999999,5282,1.7143823329186654,1.0930100970797738
AMPLIACION MIGUEL HIDALGO 3A SECC | TLALPAN,1235.42,4674,2.1309676061582294,1.254022863889623
AMPLIACION MIGUEL HIDALGO 4A SECC | TLALPAN,304.75,3035,1.3035274815422477,0.4257563144031835
AMPLIACION PETROLERA | AZCAPOTZALCO,43939.93,964,1.4418955605982986,0.6863796484754207
AMPLIACION RAMOS MILLAN | IZTACALCO,63147.490000000005,2275,1.4903322364831917,0.7954966890706588
AMPLIACION SAN FRANCISCO CULHUACAN (EJ) | COYOACAN,50864.57,1092,1.7692262020498748,0.5402096410916972
AMSA | TLALPAN,21967.21,193,1.8912902457799603,1.0426080590497158
ANAHUAC DOS LAGOS | MIGUEL HIDALGO,27071.460000000003,387,2.98771880053754,1.0429513960831647
ANAHUAC I | MIGUEL HIDALGO,450851.13000000006,6765,2.487571429620238,1.0583383929175687
ANAHUAC II | MIGUEL HIDALGO,441713.9,6412,2.4227879176996696,1.2655130784919058
ANAHUAC LAGO NORTE | MIGUEL HIDALGO,26433.43,366,1.8927827376167223,1.0674456224526452
ANAHUAC LAGO SUR | MIGUEL HIDALGO,40215.21000000001,578,2.140024383809011,1.1897791294276148
ANAHUAC LOS MANZANOS | MIGUEL HIDALGO,227595.56,3298,2.7395183807627883,1.3423447532423527
ANAHUAC MARIANO ESCOBEDO | MIGUEL HIDALGO,54191.67,942,3.572976621683738,0.6922581196199364
ANAHUAC PERALITOS | MIGUEL HIDALGO,25284.960000000003,413,2.4240473388132706,1.074972918204049
ANGEL ZIMBRON | AZCAPOTZALCO,77123.42,823,1.9553358759245896,0.6260508524182388
ANGEL ZIMBRON | MIGUEL HIDALGO,31759.600000000006,479,2.9785967077670996,0.5848025205749068
ANTORCHA POPULAR I (U HAB) | IZTAPALAPA,31665.04,206,2.0,-0.0
ANZURES | MIGUEL HIDALGO,487373.22,2539,3.9361665993876316,0.1746159216869433
AO DE JUAREZ | IZTAPALAPA,2019.83,937,2.0,-0.0
APATLACO | IZTAPALAPA,81225.07,2682,1.8717421850175076,0.38306141482588396
AQUILES SERDAN | VENUSTIANO CARRANZA,97425.19,2551,1.9472461896148212,0.20654519521815695
ARAGON INGUARAN | GUSTAVO A. MADERO,65074.44,892,3.08638875724478,0.7906541451488013
ARAGON LA VILLA (ARAGON) | GUSTAVO A. MADERO,96219.29000000001,1315,2.664665058326662,1.360131651656506
ARBOLEDAS DE CUAUTEPEC | GUSTAVO A. MADERO,1097.72,2081,1.248241810297708,0.560395319587358
ARBOLEDAS DEL SUR | TLALPAN,65498.119999999995,1492,2.9656845112500942,1.127523306349642
ARBOLEDAS POLITOCO | ALVARO OBREGON,1511.6100000000001,145,1.5136642387917518,0.692773711220998
ARBOLEDAS | IZTAPALAPA,187.67000000000002,619,1.0,-0.0
ARCOS DE CENTENARIO | ALVARO OBREGON,1874.63,54,1.0,-0.0
ARENAL GUADALUPE TLALPAN | TLALPAN,24566.92,620,2.200979609979599,1.0180907921349571
ARENAL PUERTA TEPEPAN | TLALPAN,45992.81,259,1.8082902523242221,0.848159110359343
ARENAL | AZCAPOTZALCO,91392.36,1351,1.7481555351016214,0.6677744277237738
ARGENTINA ANTIGUA | MIGUEL HIDALGO,99083.33,2167,2.2829372004352293,0.658656414195964
ARROYO GUADALUPE (U HAB) | GUSTAVO A. MADERO,23937.079999999998,622,1.6314604788888203,0.7780209028364753
ARTES GRAFICAS | VENUSTIANO CARRANZA,138746.39,3185,1.6768486733240409,0.6292220590704614
ARTURO MARTINEZ | ALVARO OBREGON,12878.75,441,1.7056562166359313,0.6059953514998744
ARVIDE | ALVARO OBREGON,16666.01,155,2.1584872443974294,0.4048910909753586
ASTURIAS (AMPL) | CUAUHTEMOC,124955.35,1941,2.99128704773345,1.1255565809061756
ASTURIAS | CUAUHTEMOC,84549.05,1566,2.7498875504810525,0.7542468612059907
