colonia_alcaldia,consumo_total,tot_hog,nivel_promedio_ponderado,diversidad_shannon,PC1,PC2,PC3,PC4
10 DE ABRIL | MIGUEL HIDALGO,17694.87,108,3.7255611372109545,0.6288143728271732,0.07891072581183631,2.4387955982993343,0.13072541241421695,0.4892949591175869
10 DE MAYO | VENUSTIANO CARRANZA,46761.97,547,1.8966097878254484,0.33246880851497007,-0.7836663900525581,0.4194781391734215,-0.15931608290929217,-0.34237280974900874
12 DE DICIEMBRE | IZTAPALAPA,18441.64,815,1.6790198702501513,0.6276060455452046,-0.5796048729973629,0.22588193395003175,0.699610167171355,-0.299425859031728
15 DE AGOSTO | GUSTAVO A. MADERO,43261.61,1079,2.234205107022138,0.5443077070695741,-0.16058219256103667,0.5392168570478233,0.19703021684112457,0.003069479168396561
16 DE SEPTIEMBRE | MIGUEL HIDALGO,51639.99999999999,691,2.730990898528273,0.7953616374931359,0.3137998020234506,1.2636658933511808,0.5435370128246031,-0.11886369428836065
19 DE MAYO | ALVARO OBREGON,15121.25,337,1.0,-0.0,-1.9473532309222286,-0.37052879548486756,-0.3974728411400009,-0.5144129305166282
1A AMPLIACION SANTIAGO ACAHUALTEPEC | IZTAPALAPA,2239.98,1870,1.4499861605907194,0.6881360361627749,-0.3060622648158298,-0.46926954148957223,0.9643639577371566,0.16801130737846437
1RA VICTORIA SECCION BOSQUES | ALVARO OBREGON,21580.68,631,1.1880228055835125,0.48334327795539944,-1.0488046131543638,-0.1827615486289627,0.5230140036329205,-0.5974563519305759
1RA VICTORIA | ALVARO OBREGON,12978.45,592,2.0,-0.0,-1.4051813617807256,0.4122983889499016,-0.6838459898719159,0.1753328371937966
2 DE OCTUBRE | TLALPAN,77.34,1594,1.0,-0.0,-1.5638863782502042,-0.9816414061837951,-0.3413813135291579,0.20403006554701453
20 DE NOVIEMBRE (AMPL) | VENUSTIANO CARRANZA,30859.980000000003,241,1.3724406172654682,0.660241852804877,-0.8120531791527723,0.23170501298393828,0.7979123906149546,-0.8555600944986053
20 DE NOVIEMBRE | VENUSTIANO CARRANZA,99825.6,3591,1.9214396908207916,0.2752389884229009,0.708162774611742,-1.1629932294727714,-0.7137280318958761,0.7961057876129581
24 DE ABRIL | VENUSTIANO CARRANZA,7710.539999999999,66,2.0341947515997583,0.6925624260532933,-0.6961780058464586,0.9586063308492638,0.8237967676644339,-0.4272037666524686
25 DE JULIO | GUSTAVO A. MADERO,44829.590000000004,958,1.4645773026253417,0.7144842583240996,-0.3193637236868749,-0.0403676706027239,0.7764947261459998,-0.5900986678986279
2A AMPLIACION SANTIAGO ACAHUALTEPEC I | IZTAPALAPA,2135.67,2221,1.077273174226355,0.2720584702724912,-0.9026702748929177,-1.130875758275997,0.1809022496460564,0.3767545224662236
2A AMPLIACION SANTIAGO ACAHUALTEPEC II | IZTAPALAPA,2903.96,3985,1.1328634003223184,0.39179388909805324,-0.023602371799593482,-1.9210964447218646,0.35996143258953367,1.1871176428132144
2DA  JALALPA TEPITO (AMPL) | ALVARO OBREGON,26733.19,1281,1.5500982112497612,0.688119086107782,-0.31729401143026115,-0.1124603107754863,0.7993340118121699,-0.23989319450634677
2DA EL PIRUL (AMPL) | ALVARO OBREGON,7717.43,239,1.0,-0.0,-2.0375402834335548,-0.3128417153820348,-0.34802109171498286,-0.5082831864276769
5 DE MAYO | MIGUEL HIDALGO,34770.49,1037,2.779026122438885,0.5283631327265967,-0.00862323088288006,1.0591269560315062,0.05867556070528065,0.35351191156027767
51 LEGISLATURA | GUSTAVO A. MADERO,723.77,170,1.0,-0.0,-2.1135573930615768,-0.2701401592273343,-0.30202745252529184,-0.4910648937492837
5TO TRAMO DE 20 DE NOVIEMBRE | VENUSTIANO CARRANZA,90172.82000000002,2277,1.9362793577931794,0.5519637671684764,0.5093315244089115,-0.3826865301623569,-0.030649401385964885,0.07550876712635557
6 DE JUNIO | GUSTAVO A. MADERO,44.06,710,1.718792555605992,0.5940900896123158,-0.7768353774723634,0.3241463888542842,0.735585014344785,-0.1755612213368103
7 DE JULIO (AMPL) | VENUSTIANO CARRANZA,42364.369999999995,612,2.0,-0.0,-1.1908263843965785,0.367886074393812,-0.86887316387471,-0.02788457386741013
7 DE JULIO | VENUSTIANO CARRANZA,28784.510000000002,295,2.5011730267425083,0.8941677326900133,0.02716612253410319,1.3149524756360722,0.9756731043521195,-0.3295062518796771
7 DE NOVIEMBRE | GUSTAVO A. MADERO,53668.350000000006,1104,2.4879063731230793,1.1757037214016661,0.8910000739522705,0.9691267400805846,1.3957005033195438,-0.2893076413308848
8A DE SAN MIGUEL (AMPL) | IZTAPALAPA,22287.75,529,1.3761344236183555,0.6621399864918152,-0.7559694415194825,0.10171792935291273,0.8458756289901911,-0.6528915812514895
AARON SAENZ | VENUSTIANO CARRANZA,6666.74,129,2.0,-0.0,-1.6297478784813249,0.6512728644550715,-0.6301209726517377,-0.003416621854637609
ABDIAS GARCIA SOTO | CUAJIMALPA DE MORELOS,16087.22,694,2.0751086887603947,1.0757712845674068,0.14326470532810465,0.8079451528080136,1.5527036058003112,-0.38471252699140396
ABRAHAM GONZALEZ | ALVARO OBREGON,495.63,75,1.0,-0.0,-2.1521347477773456,-0.2223558012935261,-0.29769963551762924,-0.5354716584234539
